"logno","name","message","ip","color","user_option","serv_option","logtime"
"1811588471","OWNER","NEW CHAT ROOM!","OWNER","",,,"2018/06/15 19:12:08"
"1811588782","221.113.161.254","ENTER:No35 杉下右京","NOTIFY","",,,"2018/06/15 19:17:19"
"1811588801","No35 杉下右京","?ルール（利用前に読んでください）?","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=large&kanappsIcon=9l4x1620aqio880i.jpg","openid=anRSI2Khk9f1zSvQi1ZHyIOofNLTiyRq&","2018/06/15 19:17:46"
"1811588826","No35 杉下右京","１:","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=anRSI2Khk9f1zSvQi1ZHyIOofNLTiyRq&","2018/06/15 19:18:17"
"1811588848","No35 杉下右京","個人情報は書き込まないこと","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=anRSI2Khk9f1zSvQi1ZHyIOofNLTiyRq&","2018/06/15 19:18:37"
"1811588895","No35 杉下右京","(氏名、住所、学校名、電話番号、待ち合わせ場所etc)","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=anRSI2Khk9f1zSvQi1ZHyIOofNLTiyRq&","2018/06/15 19:19:28"
"1811588907","No35 杉下右京","2:","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=anRSI2Khk9f1zSvQi1ZHyIOofNLTiyRq&","2018/06/15 19:19:36"
"1811588915","No35 杉下右京","必ずペンネームを使用すること","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=anRSI2Khk9f1zSvQi1ZHyIOofNLTiyRq&","2018/06/15 19:19:50"
"1811588970","No35 杉下右京","3:","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=anRSI2Khk9f1zSvQi1ZHyIOofNLTiyRq&","2018/06/15 19:20:35"
"1811589041","No35 杉下右京","ささやき（ダイレクトメッセージのこと)も書き込みも全て、外部から閲覧可能だと思っておくこと","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=anRSI2Khk9f1zSvQi1ZHyIOofNLTiyRq&","2018/06/15 19:21:48"
"1811589082","No35 杉下右京","4:","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=anRSI2Khk9f1zSvQi1ZHyIOofNLTiyRq&","2018/06/15 19:22:24"
